Date,Open,High,Low,Close,Volume
27-Oct-12,-,-,-,0.55,-
26-Oct-12,-,-,-,0.55,-
25-Oct-12,-,-,-,0.55,-
24-Oct-12,-,-,-,0.55,-
23-Oct-12,-,-,-,0.55,-
22-Oct-12,-,-,-,0.55,-
21-Oct-12,-,-,-,0.55,-
20-Oct-12,-,-,-,0.54,-
19-Oct-12,-,-,-,0.54,-
18-Oct-12,-,-,-,0.54,-
17-Oct-12,-,-,-,0.54,-
16-Oct-12,-,-,-,0.54,-
15-Oct-12,-,-,-,0.54,-
14-Oct-12,-,-,-,0.54,-
13-Oct-12,-,-,-,0.55,-
12-Oct-12,-,-,-,0.55,-
11-Oct-12,-,-,-,0.55,-
10-Oct-12,-,-,-,0.55,-
9-Oct-12,-,-,-,0.55,-
8-Oct-12,-,-,-,0.55,-
7-Oct-12,-,-,-,0.55,-
6-Oct-12,-,-,-,0.54,-
5-Oct-12,-,-,-,0.54,-
4-Oct-12,-,-,-,0.55,-
3-Oct-12,-,-,-,0.55,-
2-Oct-12,-,-,-,0.55,-
1-Oct-12,-,-,-,0.54,-
30-Sep-12,-,-,-,0.55,-
29-Sep-12,-,-,-,0.55,-
28-Sep-12,-,-,-,0.55,-
27-Sep-12,-,-,-,0.55,-
